Ftx,Huobi,Okex
56346,56346,56346
56332,56332,56332
56363,56363,56363
56363,56363,56363
56035,56035,56035
56290,56290,56290
56290,56290,56290
56365,56365,56365
56319,56319,56319
56319,56319,56319
55582,55582,55582
56385,56385,56385
56385,56385,56385
55623,55623,55623
56008,56008,56008
56008,56008,56008
55112,55112,55112
55261,55261,55261
55261,55261,55261
55362,55362,55362
55174,55174,55174
55174,55174,55174
55290,55290,55290
56494,56494,56494
56494,56494,56494
55086,55086,55086
55428,55428,55428
55428,55428,55428
55425,55425,55425
55908,55908,55908
55908,55908,55908
55841,55841,55841
55664,55664,55664
55664,55664,55664
56033,56033,56033
56578,56578,56578
56578,56578,56578
56497,56497,56497
56578,56578,56578
56578,56578,56578
56845,56845,56845
57009,57009,57009
57009,57009,57009
57139,57139,57139
57085,57085,57085
57085,57085,57085
57231,57231,57231
57198,57198,57198
57198,57198,57198
57086,57086,57086
56744,56744,56744
56744,56744,56744
56475,56475,56475
55643,55643,55643
55643,55643,55643
55721,55721,55721
56022,56022,56022
56022,56022,56022
56139,56139,56139
56257,56257,56257
56257,56257,56257
55554,55554,55554
53669,53669,53669
53669,53669,53669
53086,53086,53086
52847,52847,52847
52847,52847,52847
52445,52445,52445
52293,52293,52293
52293,52293,52293
52067,52067,52067
51863,51863,51863
51863,51863,51863
51991,51991,51991
52007,52007,52007
52007,52007,52007
51919,51919,51919
52072,52072,52072
52072,52072,52072
52191,52191,52191
51925,51925,51925
51925,51925,51925
51613,51613,51613
51519,51519,51519
51519,51519,51519
51392,51392,51392
51206,51206,51206
51206,51206,51206
51504,51504,51504
51237,51237,51237
51237,51237,51237
51347,51347,51347
51650,51650,51650
51650,51650,51650
51669,51669,51669
51775,51775,51775
51775,51775,51775
52034,52034,52034
51917,51917,51917
51917,51917,51917
51904,51904,51904
52011,52011,52011
52011,52011,52011
52458,52458,52458
52470,52470,52470
52470,52470,52470
52262,52262,52262
52257,52257,52257
52257,52257,52257
51957,51957,51957
52019,52019,52019
52019,52019,52019
52314,52314,52314
52259,52259,52259
52259,52259,52259
52689,52689,52689
52455,52455,52455
52455,52455,52455
52378,52378,52378
52178,52178,52178
52178,52178,52178
52381,52381,52381
52279,52279,52279
52279,52279,52279
52820,52820,52820
53676,53676,53676
53676,53676,53676
53782,53782,53782
53515,53515,53515
53515,53515,53515
53815,53815,53815
53928,53928,53928
53928,53928,53928
54249,54249,54249
53993,53993,53993
